Job Title,Company Name,Location,Required Skills,More Info
Outreach Worker (ORW),Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Time, Management, Reporting",https://merojob.com/outreach-worker-orw-2/
Team Leader,Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Record, Keeping, Interpersonal, Communication, Time, Management",https://merojob.com/team-leader-46/
District Project Coordinator (D…,Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Record, Keeping, Interpersonal, Communication, Time, Management, Documentation",https://merojob.com/district-project-coordinator-dpc-3/
Program Support Coordinator,Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Time, Management, Documentation",https://merojob.com/program-support-coordinator/
Admin/Logistic Assistant (ALA),Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Time, Management, Microsoft, Office, Suite",https://merojob.com/adminlogistic-assistant-ala/
Admin/Finance Officer (AFO),Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Accounting, Microsoft, Office, Suite",https://merojob.com/adminfinance-officer-afo-2/
